step,epoch,step_time_sec,cumulative_reward_eval_count,reward,grad_norm,estimator,loss,reward_type,num_samples
1,0.5,0.03974580764770508,1,2.109883983425198,0.311405152126707,plrank,PL_rank_2,toy_set,5
2,1.0,0.0047762393951416016,2,7.455086544722635,0.7194975675388934,plrank,PL_rank_2,toy_set,5
3,1.5,0.004441976547241211,3,3.609883983425198,1.584881749076402,plrank,PL_rank_2,toy_set,5
4,2.0,0.00418400764465332,4,4.455086544722635,2.2513098219829524,plrank,PL_rank_2,toy_set,5
5,2.5,0.0045969486236572266,5,4.086016298294092,2.0474345923926993,plrank,PL_rank_2,toy_set,5
6,3.0,0.003988981246948242,6,2.8717434905681127,0.8786367176827823,plrank,PL_rank_2,toy_set,5
7,3.5,0.004238128662109375,7,3.609883983425198,0.10287387088263396,plrank,PL_rank_2,toy_set,5
8,4.0,0.004287004470825195,8,7.455086544722635,7.549187927639087,plrank,PL_rank_2,toy_set,5
9,4.5,0.00462794303894043,9,2.109883983425198,0.13287847203675968,plrank,PL_rank_2,toy_set,5
10,5.0,0.0039119720458984375,10,4.455086544722635,2.0413986759765983,plrank,PL_rank_2,toy_set,5
11,5.5,0.004911899566650391,11,2.109883983425198,1.5576702963717632,plrank,PL_rank_2,toy_set,5
12,6.0,0.0043714046478271484,12,5.371594819722837,2.4210392907878284,plrank,PL_rank_2,toy_set,5
13,6.5,0.004069089889526367,13,3.4789542298537404,0.10291161377153431,plrank,PL_rank_2,toy_set,5
14,7.0,0.004139900207519531,14,7.586016298294092,10.743933989556076,plrank,PL_rank_2,toy_set,5
15,7.5,0.0048830509185791016,15,4.871594819722837,1.8706325883345414,plrank,PL_rank_2,toy_set,5
16,8.0,0.004630088806152344,16,2.8717434905681127,2.0103425211303407,plrank,PL_rank_2,toy_set,5
17,8.5,0.004133939743041992,17,4.086016298294092,0.4109008300991583,plrank,PL_rank_2,toy_set,5
18,9.0,0.003911018371582031,18,2.109883983425198,3.405772836459072,plrank,PL_rank_2,toy_set,5
19,9.5,0.0037157535552978516,19,3.4789542298537404,2.056615508293238,plrank,PL_rank_2,toy_set,5
20,10.0,0.004426240921020508,20,7.586016298294092,2.0664350036148114,plrank,PL_rank_2,toy_set,5
21,10.5,0.0037910938262939453,21,4.086016298294092,8.74796827946193,plrank,PL_rank_2,toy_set,5
22,11.0,0.0045680999755859375,22,3.609883983425198,1.6160046397743524,plrank,PL_rank_2,toy_set,5
23,11.5,0.0039119720458984375,23,2.3717434905681127,2.430907280933555,plrank,PL_rank_2,toy_set,5
24,12.0,0.004194021224975586,24,7.455086544722635,5.2304515369806435,plrank,PL_rank_2,toy_set,5
25,12.5,0.003805875778198242,25,2.8717434905681127,2.944494233823307,plrank,PL_rank_2,toy_set,5
26,13.0,0.003907918930053711,26,7.455086544722635,3.762222242013129,plrank,PL_rank_2,toy_set,5
27,13.5,0.003885030746459961,27,3.4789542298537404,1.12112486410259,plrank,PL_rank_2,toy_set,5
28,14.0,0.004001140594482422,28,7.455086544722635,5.630509957958555,plrank,PL_rank_2,toy_set,5
29,14.5,0.004271984100341797,29,2.109883983425198,1.3602361903798326,plrank,PL_rank_2,toy_set,5
30,15.0,0.004347085952758789,30,4.086016298294092,4.554615096967678,plrank,PL_rank_2,toy_set,5
31,15.5,0.004127025604248047,31,4.455086544722635,8.212971153986212,plrank,PL_rank_2,toy_set,5
32,16.0,0.004085063934326172,32,3.609883983425198,0.47813893091220444,plrank,PL_rank_2,toy_set,5
33,16.5,0.003907203674316406,33,2.109883983425198,1.586112839119425,plrank,PL_rank_2,toy_set,5
34,17.0,0.004303932189941406,34,4.871594819722837,4.40607651784076,plrank,PL_rank_2,toy_set,5
35,17.5,0.004228115081787109,35,4.455086544722635,2.650968589689302,plrank,PL_rank_2,toy_set,5
36,18.0,0.004045963287353516,36,2.4789542298537404,2.3376867955158986,plrank,PL_rank_2,toy_set,5
37,18.5,0.003732919692993164,37,2.109883983425198,1.9501941345957203,plrank,PL_rank_2,toy_set,5
38,19.0,0.004530906677246094,38,4.455086544722635,2.709221502249119,plrank,PL_rank_2,toy_set,5
39,19.5,0.0042438507080078125,39,3.4789542298537404,2.055234219334912,plrank,PL_rank_2,toy_set,5
40,20.0,0.0040280818939208984,40,4.086016298294092,1.8127673959995387,plrank,PL_rank_2,toy_set,5
