fold,var_grad_pg,var_grad_plrank,variance_ratio,mean_grad_pg,mean_grad_plrank,median_runtime_pg,median_runtime_plrank,runtime_ratio,frac_plrank_lower_grad,frac_plrank_faster
1,3.997552323821198,1.4334938665258525,2.788677661739478,5.299949542416329,3.265337420911227,66.93637510761619,31.57674998510629,2.1197993821146213,0.985,0.98
2,8.087801074109654,2.6301403644460275,3.0750454171342847,6.834412304773093,4.215272539137923,70.0335210422054,33.63620792515576,2.082087291113125,0.965,1.0
3,12.031709618901534,3.8727809658228045,3.1067364059783062,9.167964765062639,5.7217163695646125,71.2755830027163,34.63318746071309,2.058013952182984,0.97,0.995
4,10.950017175882774,4.243032494223539,2.5807054720391887,10.24307964686859,6.3522897897635975,68.03706253413111,31.955271027982235,2.129134266285934,0.995,0.98
5,17.39656377460021,5.6459110175238765,3.0812677919656286,9.366001509684487,5.856204349497299,67.6324589876458,31.10879147425294,2.1740625650347596,0.99,0.975
mean±std,10.492729 ± 4.431964,3.565072 ± 1.435404,2.926487 ± 0.208362,8.182282 ± 1.829986,5.082164 ± 1.155313,68.783000 ± 1.616599,32.582042 ± 1.333595,2.112619 ± 0.040034,0.981000 ± 0.011576,0.986000 ± 0.009695
